NOME,Ano,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE
ALUNO-75,2020,10.00002,10,10,9,9.375,9.75001,10,9.687504
ALUNO-76,2020,8.91668,10,10,10,7.5,6.58333,10,8.958334
ALUNO-77,2020,,,,,,,,
ALUNO-78,2020,9.50002,9,7.5,5.5,7.1875,7.666665,5,7.352085
ALUNO-79,2020,,,,,,,,
ALUNO-80,2020,6.91668,9.2,7.5,0,7.291666667,7.444443333,10,6.499723333
ALUNO-81,2020,5.41667,8.8,7.5,6,8.125,9.11112,5,7.386391
ALUNO-82,2020,8.50002,10,7.5,8.5,6.875,7.333335,5,7.954169
ALUNO-83,2020,9.16668,9.4,5.625,5.333333333,8.958333333,9.166676667,10,8.155003333
ALUNO-84,2020,9.00002,10,10,8.5,7.5,6.999995,10,8.750001
ALUNO-85,2020,9.50002,9.9,2.5,10,2.5,6.66666,5,7.263334
ALUNO-86,2020,8.33334,4.9,7.5,3.666666667,7.5,5.7083325,5,5.688333833
ALUNO-87,2020,8.33334,9.2,5.625,6.666666667,8.75,8.722226667,10,8.188612667
ALUNO-88,2020,10.00002,9.4,7.5,9.5,5.9375,9.58334,10,9.04042
ALUNO-89,2020,10.00002,10,7.5,7.5,6.875,7.5,5,7.937502
ALUNO-90,2020,8.33334,5.8,7.5,7.666666667,7.96875,7.5000025,5,7.073542833
ALUNO-91,2020,9.00002,6.4,6.875,4.5,5.625,7.58333,10,6.846668
ALUNO-92,2020,,,,,,,,
ALUNO-93,2020,,,,,,,,
ALUNO-94,2020,7.08333,6,7.5,4,7.96875,7.5000025,10,6.7552085
ALUNO-95,2020,9.58335,8.2,7.5,6.666666667,7.96875,6.791665,5,7.336876333
ALUNO-96,2020,9.16668,6.1,6.875,3,7.5,8.791665,5,6.432501
ALUNO-97,2020,9.50002,8,7.5,6,8.4375,7.75,5,7.393752
ALUNO-98,2020,,,,,,,,
ALUNO-99,2020,,,,,,,,
ALUNO-100,2020,9.00002,6.5,4.375,7.5,6.875,7.916665,5,6.908335
ALUNO-101,2020,,,,,,,,
ALUNO-102,2020,8.00002,8.5,7.5,7,7.5,7.833333333,10,7.966668667
ALUNO-103,2020,9.00002,10,7.5,8.5,7.8125,7.333335,10,8.597919
ALUNO-104,2020,,,,,,,,
ALUNO-105,2020,9.16668,9.6,7.5,8,7.96875,7.66667,10,8.516877
ALUNO-106,2020,9.50002,10,7.5,10,7.5,7.5,5,8.450002
ALUNO-107,2020,,,,,,,,
ALUNO-108,2020,,,,,,,,
ALUNO-109,2020,,,,,,,,
ALUNO-110,2020,,,,,,,,
ALUNO-111,2020,7.91667,7.7,7.5,4.5,7.96875,7.8750025,5,6.8535425
ALUNO-112,2020,7.91667,6.8,4.375,5.333333333,7.708333333,7.611103333,5,6.448887667
ALUNO-113,2020,8.50002,8.8,7.5,7.5,7.5,7.916665,5,7.693335
ALUNO-114,2020,,,,,,,,
ALUNO-115,2020,9.16668,1.9,6.875,5.166666667,7.916666667,5.111106667,5,5.331389333
ALUNO-116,2020,,,,,,,,
ALUNO-117,2020,8.00002,8.9,7.5,9.5,7.1875,7.916665,5,8.032085
ALUNO-118,2020,8.50002,7.7,7.5,10,7.1875,7.416665,10,8.342085
ALUNO-119,2020,,,,,,,,
ALUNO-120,2020,9.00002,10,8.125,9.5,2.5,7.666665,5,7.895835
ALUNO-121,2020,,,,,,,,
ALUNO-122,2020,,,,,,,,
ALUNO-123,2020,,,,,,,,
ALUNO-124,2020,,,,,,,,
ALUNO-125,2020,9.00002,9,7.5,5,7.708333333,7.333333333,5,7.187502
ALUNO-126,2020,,,,,,,,
ALUNO-127,2020,,,,,,,,
ALUNO-128,2020,7.41668,10,5.625,5.5,2.5,3.500005,5,5.854169
ALUNO-129,2020,,,,,,,,
ALUNO-130,2020,,,,,,,,
ALUNO-131,2020,,,,,,,,
ALUNO-132,2020,8.75001,6.5,7.5,6,8.28125,6.95833,10,7.344792
ALUNO-133,2020,10.00002,9.8,7.5,10,7.1875,7.5,5,8.428752
ALUNO-134,2020,,,,,,,,
ALUNO-135,2020,9.00002,8.4,7.5,6.5,7.1875,7.25,10,7.798752
ALUNO-136,2020,7.5,4,4.375,2,6.666666667,5.444446667,5,4.643056
ALUNO-137,2020,,,,,,,,
ALUNO-138,2020,,,,,,,,
ALUNO-139,2020,9.16668,5.8,7.5,4.333333333,8.125,5.499996667,5,6.105834
ALUNO-140,2020,,,,,,,,
ALUNO-141,2020,,,,,,,,
ALUNO-142,2020,,,,,,,,
ALUNO-143,2020,,,,,,,,
ALUNO-144,2020,,,,,,,,
ALUNO-145,2020,7.91667,9.1,7.5,7.333333333,7.5,8.8333375,10,8.345001167
ALUNO-146,2020,10.00002,7.2,7.5,0,7.291666667,7.333333333,10,6.385835333
ALUNO-147,2020,9.00002,8,7.5,0,7.291666667,7.277776667,5,5.934724
ALUNO-148,2020,,,,,,,,
ALUNO-149,2020,7.5,8.7,5.625,3,8.125,8.333335,10,7.131667
ALUNO-150,2020,,,,,,,,
ALUNO-151,2020,9.50002,9.5,7.5,7.5,9.166666667,8.611113333,5,8.238891333
ALUNO-152,2020,6.24999,9,7.5,6.333333333,7.96875,8.6250075,10,7.963542167
ALUNO-153,2020,10.00002,9,7.5,4.666666667,8.59375,9.1250075,10,8.167711833
ALUNO-154,2020,8.50002,7.1,7.5,0,7.8125,7.916665,5,5.884585
ALUNO-155,2020,,,,,,,,
ALUNO-156,2020,7.91668,8.9,7.5,5,6.666666667,8.11111,5,7.110556667
ALUNO-157,2020,9.50002,6.4,7.5,6.75,7.916666667,7.777776667,5,7.177224
ALUNO-158,2020,9.16668,5.9,3.75,5,7.708333333,6.611103333,5,6.064722
ALUNO-159,2020,,,,,,,,
ALUNO-160,2020,8.00002,2.3,5,0,7.291666667,7.444443333,5,4.478057333
ALUNO-161,2020,7.91667,10,7.5,9,0,0,10,8.891667
ALUNO-162,2020,8.50002,8.8,7.5,8.5,8.4375,7.75,5,7.953752
ALUNO-163,2020,7.50002,8.2,5,6.25,2.5,7.75,5,6.440002
ALUNO-164,2020,9.50002,8.7,7.5,7.5,7.1875,7.75,5,7.708752
ALUNO-165,2020,9.00002,10,7.5,10,7.8125,7.5,5,8.431252
ALUNO-166,2020,,,,,,,,
ALUNO-167,2020,,,,,,,,
ALUNO-168,2020,10.00002,8.8,7.5,8.5,7.5,8.11111,5,8.082224
ALUNO-169,2020,9.00002,10,5,10,2.5,5.749995,10,7.800001
ALUNO-170,2020,,,,,,,,
ALUNO-171,2020,,,,,,,,
ALUNO-172,2020,,,,,,,,
ALUNO-173,2020,7.91667,0.9,3.125,2.833333333,5.625,4.1250025,5,3.738334167
ALUNO-174,2020,9.16668,10,5.625,7.2,0,0,10,7.921668
ALUNO-175,2020,,,,,,,,
ALUNO-176,2020,,,,,,,,
ALUNO-177,2020,,,,,,,,
ALUNO-178,2020,,,,,,,,
ALUNO-179,2020,,,,,,,,
ALUNO-180,2020,,,,,,,,
ALUNO-181,2020,,,,,,,,
ALUNO-182,2020,,,,,,,,
ALUNO-183,2020,9.00002,10,8.125,10,2.5,7.000005,5,7.862503
ALUNO-184,2020,10.00002,8.3,7.5,7.5,7.916666667,7.777776667,10,8.257224
ALUNO-185,2020,,,,,,,,
ALUNO-186,2020,8.75001,5.8,7.5,5.666666667,8.125,6.66666,2.5,6.314166333
ALUNO-187,2020,8.50002,8,7.5,0,7.916666667,7.111106667,10,6.41389
ALUNO-188,2020,7.08333,4.7,7.5,9,8.125,8.66667,10,7.744167
ALUNO-189,2020,8.00002,8.3,5,8,7.291666667,7.333333333,5,7.255835333
ALUNO-190,2020,8.33334,9.2,6.875,7.666666667,9.0625,9.66667,10,8.733751333
ALUNO-191,2020,,,,,,,,
ALUNO-192,2020,7.41668,5.1,5,0,6.041666667,7.444443333,5,4.854723333
ALUNO-193,2020,10.00002,9.8,5,7,8.125,9.333333333,10,8.539168667
ALUNO-194,2020,8.33334,8.3,6.875,6.333333333,7.65625,7.04167,5,7.121459667
ALUNO-195,2020,,,,,,,,
ALUNO-196,2020,,,,,,,,
ALUNO-197,2020,8.33334,9.6,7.5,8.666666667,8.958333333,8.5,10,8.832500667
ALUNO-198,2020,0,6.1,5.625,4.5,5.78125,6.291665,10,5.518958
ALUNO-199,2020,6.25,4.8,7.5,7.666666667,8.125,7.388886667,5,6.658610667
ALUNO-200,2020,7.91667,5.8,7.5,5.666666667,8.125,8.5416725,10,7.355834833
ALUNO-201,2020,7.08333,9.4,7.5,8,7.96875,7.4166675,5,7.7185415
ALUNO-202,2020,0,2.9,6.875,0,6.458333333,6.833326667,5,3.779998667
ALUNO-203,2020,,,,,,,,
ALUNO-204,2020,,,,,,,,
ALUNO-205,2020,,,,,,,,
ALUNO-206,2020,0,4.3,7.5,2,7.8125,7.1249975,10,5.2162495
ALUNO-207,2020,,,,,,,,
ALUNO-208,2020,9.00002,9.4,7.5,5,8.125,7.5,10,7.842502
ALUNO-209,2020,9.50002,10,6.25,10,10,10.00001,5,9.075004
ALUNO-210,2020,10.00002,9.1,7.5,5.666666667,8.541666667,8.277783333,10,8.213058667
ALUNO-211,2020,,,,,,,,
ALUNO-212,2020,7.41668,10,4.375,7,2.5,2.58334,10,6.345836
ALUNO-213,2020,9.00002,9.7,5,9,8.75,7.833336667,5,8.081669333
ALUNO-214,2020,,,,,,,,
ALUNO-215,2020,9.50002,9.3,7.5,10,7.8125,7.666665,10,8.874585
ALUNO-216,2020,8.75001,0,5.625,7.4,0,0,10,5.960001
ALUNO-217,2020,8.00002,9.4,7.5,9.5,8.125,9.000005,10,8.942503
ALUNO-218,2020,,,,,,,,
ALUNO-219,2020,9.50002,7.9,8.75,5,8.4375,7.916665,10,7.832085
ALUNO-220,2020,,,,,,,,
ALUNO-221,2020,,,,,,,,
ALUNO-222,2020,9.00002,7.8,7.5,9.5,7.1875,8.25,10,8.478752
ALUNO-223,2020,9.00002,5.2,6.875,5,8.541666667,8.055556667,5,6.59278
ALUNO-224,2020,,,,,,,,
ALUNO-225,2020,9.58335,9.7,7.5,8.333333333,8.75,8.277783333,10,8.845558333
ALUNO-226,2020,8.50002,7.4,5.625,7.5,8.125,8.222223333,10,7.849446667
ALUNO-227,2020,8.75001,3,7.5,6.333333333,7.8125,6.0416625,5,5.981250167
ALUNO-228,2020,,,,,,,,
ALUNO-229,2020,7.33334,7.8,7.5,0,7.916666667,7.777776667,5,5.890556
ALUNO-230,2020,8.75001,6.1,4.375,2.333333333,5.833333333,4.611106667,5,5.004722333
ALUNO-231,2020,8.33334,3.7,5,4.333333333,7.03125,6.5833325,10,5.959792167
ALUNO-232,2020,,,,,,,,
ALUNO-233,2020,,,,,,,,
ALUNO-234,2020,,,,,,,,
ALUNO-235,2020,8.33335,9,7.5,7.666666667,7.5,7.2916675,10,8.125001833
ALUNO-236,2020,,,,,,,,
ALUNO-237,2020,,,,,,,,
ALUNO-238,2020,9.00002,8.4,5,4,5.625,7.75,5,6.492502
ALUNO-239,2020,,,,,,,,
ALUNO-240,2020,,,,,,,,
ALUNO-241,2020,9.00002,8.8,6.25,9.5,2.5,6.75,5,7.285002
ALUNO-242,2020,9.00002,7.4,6.25,5.5,7.1875,6.916665,5,6.707085
ALUNO-243,2020,,,,,,,,
ALUNO-244,2020,,,,,,,,
ALUNO-245,2020,,,,,,,,
ALUNO-246,2020,9.50002,8.3,6.875,8,7.083333333,7.666666667,5,7.639168667
ALUNO-247,2020,,,,,,,,
ALUNO-248,2020,,,,,,,,
ALUNO-249,2020,,,,,,,,
ALUNO-250,2020,,,,,,,,
ALUNO-251,2020,8.50002,8.9,7.5,10,7.291666667,7.333333333,10,8.575835333
ALUNO-252,2020,,,,,,,,
ALUNO-253,2020,,,,,,,,
ALUNO-254,2020,,,,,,,,
ALUNO-255,2020,,,,,,,,
ALUNO-256,2020,,,,,,,,
ALUNO-257,2020,,,,,,,,
ALUNO-258,2020,,,,,,,,
ALUNO-259,2020,9.16668,9.1,7.5,7.666666667,8.75,9.2916725,10,8.753335833
ALUNO-260,2020,,,,,,,,
ALUNO-261,2020,9.16668,8.8,7.5,6.333333333,7.5,7.79167,2.5,7.251668667
ALUNO-262,2020,7.91667,9.2,5,6.666666667,9.0625,9.250005,10,8.221251333
ALUNO-263,2020,9.58335,9.5,6.875,6.333333333,8.958333333,8.388893333,10,8.386113667
ALUNO-264,2020,,,,,,,,
ALUNO-265,2020,8.75001,10,6.875,6,8.125,7.777783333,5,7.630557667
ALUNO-266,2020,8.50002,8.9,5.625,8.5,8.4375,8,10,8.336252
ALUNO-267,2020,9.16668,9.7,5.625,8,8.958333333,9.777786667,5,8.370558667
ALUNO-268,2020,,,,,,,,
ALUNO-269,2020,7.50002,8.6,7.5,5.75,7.291666667,7.5,5,7.099168667
ALUNO-270,2020,6.66667,4.2,4.375,8.666666667,8.125,8.500003333,10,7.190001
ALUNO-271,2020,,,,,,,,
ALUNO-272,2020,,,,,,,,
ALUNO-273,2020,9.00002,4.4,7.5,0,7.291666667,4.388883333,2.5,4.386945333
ALUNO-274,2020,7.91667,5.6,7.5,3.666666667,7.291666667,7.444443333,5,6.113055667
ALUNO-275,2020,10.00002,5.2,7.5,4.333333333,6.09375,5.666665,10,6.399376667
ALUNO-276,2020,,,,,,,,
ALUNO-277,2020,9.50002,8.4,5.625,10,7.708333333,7.777773333,5,8.01889
ALUNO-278,2020,8.75001,9.6,9.375,7.333333333,8.75,8.333333333,5,8.240834333
ALUNO-279,2020,,,,,,,,
ALUNO-280,2020,8.50002,6.2,5,6.5,6.5625,8,5,6.646252
ALUNO-281,2020,,,,,,,,
ALUNO-282,2020,,,,,,,,
ALUNO-283,2020,,,,,,,,
ALUNO-284,2020,7.91667,9.9,7.5,7.666666667,7.96875,7.7500025,5,7.901875833
ALUNO-285,2020,9.50002,0,7.5,1,8.125,7,10,5.112502
ALUNO-286,2020,8.00002,6,6.875,7.5,7.1875,7.75,5,6.956252
ALUNO-287,2020,7.41668,8.5,7.5,7.5,8.4375,8.833335,10,8.302085
ALUNO-288,2020,9.00002,7.7,7.5,3.75,8.333333333,7.833333333,5,6.840002
ALUNO-289,2020,,,,,,,,
ALUNO-290,2020,,,,,,,,
ALUNO-291,2020,,,,,,,,
ALUNO-292,2020,10.00002,9.9,6.875,7.666666667,8.958333333,9.44445,5,8.485558667
ALUNO-293,2020,6.66667,1.3,4.375,0,7.1875,6.6666675,10,4.4162505
ALUNO-294,2020,,,,,,,,
ALUNO-295,2020,9.00002,8.9,4.375,7.25,4.6875,7.75,10,7.586252
ALUNO-296,2020,9.00002,8.9,7.5,5,7.5,7.666665,10,7.713335
ALUNO-297,2020,8.33334,8.7,4.375,6,8.125,8.38889,5,7.201112
ALUNO-298,2020,8.50002,6.6,5,6.5,5,6.833335,5,6.336669
ALUNO-299,2020,5.83334,10,5.625,9.2,0,0,10,8.388334
ALUNO-300,2020,9.16668,0,7.5,8.4,0,0,10,6.776668
ALUNO-301,2020,10.00002,9.2,7.5,9.5,7.916666667,7.833333333,10,8.848335333
ALUNO-302,2020,,,,,,,,
ALUNO-303,2020,,,,,,,,
ALUNO-304,2020,,,,,,,,
ALUNO-305,2020,8.50002,8.3,7.5,6.5,6.458333333,8.277776667,5,7.361390667
ALUNO-306,2020,6.66667,1.4,4.375,0,5.15625,4.95834,10,3.89146
ALUNO-307,2020,,,,,,,,
ALUNO-308,2020,,,,,,,,
ALUNO-309,2020,8.50002,6.5,7.5,10,7.5,7.75,10,8.200002
ALUNO-310,2020,,,,,,,,
ALUNO-311,2020,,,,,,,,
ALUNO-312,2020,10.00002,9.1,7.5,8.5,5.833333333,8.277776667,10,8.508890667
ALUNO-313,2020,7.50002,10,7.5,6.5,7.5,6.749995,10,7.900001
ALUNO-314,2020,,,,,,,,
ALUNO-315,2020,9.16668,10,9.375,8.666666667,8.958333333,9.8889,10,9.461114667
ALUNO-316,2020,7.41668,7.7,7.5,0,8.125,7.916665,10,6.427501
ALUNO-317,2020,,,,,,,,
ALUNO-318,2020,9.00002,10,7.5,10,7.5,6.999995,5,8.300001
ALUNO-319,2020,9.00002,9.5,7.5,2,7.5,7.416665,10,7.183335
ALUNO-320,2020,,,,,,,,
ALUNO-321,2020,4.58334,2,7.5,2,6.40625,6.3333275,10,4.9156245
ALUNO-322,2020,,,,,,,,
ALUNO-323,2020,8.00002,9.1,5,4.5,2.5,6.416665,5,6.053335
ALUNO-324,2020,8.75001,7.9,7.5,6.666666667,8.59375,8.3333325,10,8.064375833
ALUNO-325,2020,,,,,,,,
ALUNO-326,2020,,,,,,,,
ALUNO-327,2020,,,,,,,,
ALUNO-328,2020,7.5,4.1,7.5,9,7.96875,7.20833,5,6.858541
ALUNO-329,2020,7.91667,8.6,7.5,7,7.96875,7.6249975,10,7.9835415
ALUNO-330,2020,8.00002,7.9,7.5,8.5,7.5,8,5,7.680002
ALUNO-331,2020,,,,,,,,
ALUNO-332,2020,9.50002,9.2,7.5,10,7.291666667,7.444443333,5,8.258057333
ALUNO-333,2020,,,,,,,,
ALUNO-334,2020,,,,,,,,
ALUNO-335,2020,8.50002,10,4.375,9.5,2.5,5.166675,10,7.470837
ALUNO-336,2020,,,,,,,,
ALUNO-337,2020,8.33334,9.9,10,7,9.166666667,9.111113333,10,8.952223333
ALUNO-338,2020,8.33334,2.1,7.5,4.333333333,7.34375,6.5416625,10,5.912708167
ALUNO-339,2020,9.16668,9.7,7.5,7.333333333,8.75,8.444446667,5,8.137224
ALUNO-340,2020,8.33334,9.4,7.5,7,8.541666667,6.888883333,5,7.595277333
ALUNO-341,2020,9.16668,10,7.5,9.2,0,0,10,9.096668
ALUNO-342,2020,9.00002,9.2,5.625,8,5.3125,8.5,10,8.133752
ALUNO-343,2020,7.5,8.1,7.5,8,8.125,9.000003333,2.5,7.582500667
ALUNO-344,2020,0,3.8,5,0,6.71875,7.08333,10,4.348541
ALUNO-345,2020,8.50002,10,7.5,10,7.5,5.74999,10,8.5
ALUNO-346,2020,9.00002,8,7.5,9.5,7.1875,7.75,10,8.418752
ALUNO-347,2020,,,,,,,,
ALUNO-348,2020,9.50002,10,6.25,9.5,2.5,7.83334,5,7.79167
ALUNO-349,2020,9.50002,10,7.5,10,10,10.00001,5,9.200004
ALUNO-350,2020,,,,,,,,
ALUNO-351,2020,,,,,,,,
ALUNO-352,2020,,,,,,,,
ALUNO-353,2020,10.00002,8.3,6.25,6,7.916666667,6.94444,5,7.165556667
ALUNO-354,2020,9.16668,3.4,4.375,0,7.96875,6.624995,5,4.656042
ALUNO-355,2020,7.50002,8.1,5,4,7.708333333,7.333333333,5,6.407502
ALUNO-356,2020,,,,,,,,
ALUNO-357,2020,,,,,,,,
ALUNO-358,2020,,,,,,,,
ALUNO-359,2020,8.50002,9.3,7.5,7,7.708333333,7.72222,10,8.175279333
ALUNO-360,2020,,,,,,,,
ALUNO-361,2020,9.00002,4.3,5.625,0,8.125,7.666665,10,5.668335
ALUNO-362,2020,,,,,,,,
ALUNO-363,2020,,,,,,,,
ALUNO-364,2020,9.00002,9.9,4.375,7.5,5.625,7.166665,10,7.813335
ALUNO-365,2020,9.58335,9.6,5,6.666666667,8.59375,9.125005,10,8.396044333
ALUNO-366,2020,,,,,,,,
ALUNO-367,2020,9.16668,9.4,7.5,6.666666667,8.125,8.166666667,10,8.325834667
ALUNO-368,2020,8.75001,10,7.5,8.3,0,0,10,8.695001
ALUNO-369,2020,,,,,,,,
ALUNO-370,2020,8.75001,9.9,7.5,6.5,8.75,9.16667,10,8.613335
ALUNO-371,2020,7.91667,7.8,5,7.333333333,5.78125,7.41667,10,7.379792667
ALUNO-372,2020,9.00002,8,5,6,7.5,6.83333,5,6.816668
ALUNO-373,2020,8.75001,5,5.625,5.666666667,8.125,6.6666625,5,6.216666833
ALUNO-374,2020,,,,,,,,
ALUNO-375,2020,9.00002,9.5,7.5,9.5,9.6875,9.58334,10,9.33542
ALUNO-376,2020,,,,,,,,
ALUNO-377,2020,9.58335,6.7,4.375,6,8.541666667,8.111106667,10,7.412223
ALUNO-378,2020,7.91667,9.7,3.75,7,8.125,8.25,10,7.969167
ALUNO-379,2020,10.00002,6.6,5,4.166666667,5.625,4.833323333,5,5.6825
ALUNO-380,2020,0,0,4.375,8.8,0,0,10,5.395
ALUNO-381,2020,9.50002,9.8,2.5,8.5,2.5,4.16667,5,6.443336
ALUNO-382,2020,8.33334,10,6.875,9.1,0,0,10,8.848334
ALUNO-383,2020,9.50002,10,6.875,7.5,7.8125,7.5,5,7.918752
ALUNO-384,2020,,,,,,,,
ALUNO-385,2020,8.75001,8.6,7.5,6,7.708333333,7.611113333,5,7.338057
ALUNO-386,2020,,,,,,,,
ALUNO-387,2020,9.00002,5.6,4.375,6,6.875,7.222216667,5,6.289445333
ALUNO-388,2020,8.00002,8.8,7.5,5.5,6.875,7.222216667,5,7.041945333
ALUNO-389,2020,8.33334,9,7.5,9.333333333,8.541666667,9.000006667,5,8.404168667
ALUNO-390,2020,8.33334,5.3,7.5,7.666666667,7.708333333,7.38889,10,7.425278667
ALUNO-391,2020,,,,,,,,
ALUNO-392,2020,,,,,,,,
ALUNO-393,2020,9.00002,7.5,6.875,4.25,7.083333333,7.83333,10,7.212501333
ALUNO-394,2020,7.5,5.3,5,6.333333333,6.25,6.166665,5,5.934999667
ALUNO-395,2020,,,,,,,,
ALUNO-396,2020,7.5,9.1,7.5,8,8.125,6.11111,5,7.454722
ALUNO-397,2020,9.16668,9.5,4.375,6.666666667,7.5,6.7499975,10,7.687500833
ALUNO-398,2020,,,,,,,,
ALUNO-399,2020,0,4.6,6.875,0,7.708333333,6.777773333,5,4.233888
ALUNO-400,2020,9.00002,4.3,3.75,0,7.291666667,7.5,5,4.864168667
ALUNO-401,2020,9.58335,9.9,7.5,6.166666667,7.96875,8.458335,10,8.410210333
ALUNO-402,2020,,,,,,,,
ALUNO-403,2020,,,,,,,,
ALUNO-404,2020,10.00002,9.9,4.375,6.666666667,8.59375,8.5416725,10,8.318544833
ALUNO-405,2020,,,,,,,,
ALUNO-406,2020,9.00002,8.8,7.5,9.5,7.1875,7.25,5,7.978752
ALUNO-407,2020,5.83333,9.9,5,7.666666667,8.59375,9.166675,10,8.289376333
ALUNO-408,2020,9.00002,10,10,10,7.5,8.333335,10,9.316669
ALUNO-409,2020,,,,,,,,
ALUNO-410,2020,,,,,,,,
ALUNO-411,2020,,,,,,,,
ALUNO-412,2020,,,,,,,,
ALUNO-413,2020,,,,,,,,
ALUNO-414,2020,6.91668,8,7.5,0,8.541666667,6.888886667,5,5.773612
ALUNO-415,2020,,,,,,,,
ALUNO-416,2020,9.00002,9.7,6.25,7,7.708333333,8.22222,5,7.780279333
ALUNO-417,2020,,,,,,,,
ALUNO-418,2020,,,,,,,,
ALUNO-419,2020,,,,,,,,
ALUNO-420,2020,,,,,,,,
ALUNO-421,2020,9.58335,5.9,7.5,7.666666667,7.65625,7.2500025,5,7.137293833
ALUNO-422,2020,,,,,,,,
ALUNO-423,2020,,,,,,,,
ALUNO-424,2020,9.00002,8.8,7.5,9,7.1875,7.416665,5,7.912085
